Embrun (44.5670N, 6.5000E) FRM00007591           GHCN V4 adj - homogenized

YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1990    3.62    7.09    8.90    8.40   14.52   16.53   20.74   20.06   15.77   12.10    4.20   -1.46    4.92   10.61   19.11   10.69   11.33
1991    2.65    1.59    8.92    8.96   11.64   16.77   22.19   22.00   16.94   10.59    4.24    1.25    0.93    9.84   20.32   10.59   10.42
1992    4.14    4.81    6.28    9.72   14.54   15.41   19.75   21.17   16.29    8.22    7.04    3.11    3.40   10.18   18.78   10.52   10.72
1993    4.30    4.48    6.44    9.72   13.60   17.66   18.24   20.76   14.37   10.15    5.85    2.45    3.96    9.92   18.89   10.12   10.72
1994    2.75    3.01    9.63    7.41   14.48   17.97   22.07   21.61   14.23   11.63    8.57    3.46    2.74   10.51   20.55   11.48   11.32
1995   -0.04    4.14    5.11  999.90   13.44   15.85   21.64   18.53   12.96   13.77    5.07    3.20    2.52    9.11   18.67   10.60   10.23
1996    4.34    1.19    5.63    9.99   12.49   17.54   18.52   17.88   12.94   10.59    4.18    3.58    2.91    9.37   17.98    9.24    9.87
1997    3.84    5.67    9.67    9.64   14.07   16.58   18.18   20.55   18.06   12.38    6.63    1.50    4.36   11.13   18.44   12.36   11.57
1998    1.46    6.96    7.12    8.05   14.69   17.76   20.90   20.74   15.36    9.67    2.91    2.01    3.31    9.95   19.80    9.31   10.59
1999    1.96   -0.22    6.98    8.43   15.91   16.98   20.19   20.12   17.08   10.97    3.83    0.35    1.25   10.44   19.10   10.63   10.35
2000    0.79    4.33    6.76    9.60   15.43   18.56   18.05   21.13   16.54   10.39    4.31    4.44    1.82   10.60   19.25   10.41   10.52
2001    2.53    4.20    7.38    8.21   14.78   17.08   20.34   21.80   12.50   14.49    4.76   -0.03    3.72   10.12   19.74   10.58   11.04
2002    2.09    4.34    8.60   10.19   12.99   19.77   19.79   18.94   13.99   10.79    6.49    3.70    2.13   10.59   19.50   10.42   10.66
2003    0.60    0.80    8.10   10.10   15.00   21.70   22.50   23.10   16.00    9.20    7.00    3.31    1.70   11.07   22.43   10.73   11.48
2004   -0.19    2.71    5.81    9.21   12.91   18.41   20.41   20.11   16.71   12.31    4.71    3.42    1.94    9.31   19.64   11.24   10.54
2005    0.87    0.37    6.42    9.37   14.87   19.77   20.32   19.12   16.02   13.32    4.92   -1.67    1.55   10.22   19.74   11.42   10.73
2006    0.33    1.63    4.93   10.13   13.63   19.13   22.51   17.11   18.01   13.51    7.21    5.42    0.10    9.56   19.58   12.91   10.54
2007    3.52    4.92    6.82   14.02   14.72   18.02   20.22   19.32   15.32   11.32    4.02    3.02    4.62   11.85   19.19   10.22   11.47
2008    3.72    4.32    5.42    8.62   14.32   17.42   19.82  999.90   14.72   11.82    4.92    1.61    3.69    9.45   18.97   10.49   10.65
2009    1.31    1.61    6.21   10.81   16.31   17.91   21.26   21.91   17.11   10.71    7.91    0.71    1.51   11.11   20.36   11.91   11.22
2010   -1.19    0.61    5.21   10.51   12.31   17.61   22.31   19.71   15.11   10.61    4.91   -0.79    0.04    9.34   19.88   10.21    9.87
2011    2.01    4.81    8.01   13.61   16.01   18.01   18.51   21.11   18.11   12.01    8.51    2.51    2.01   12.54   19.21   12.88   11.66
2012    1.91   -0.19   10.31    9.21   14.31   19.21   21.61   22.61   16.81   12.11    7.41    0.90    1.41   11.28   21.14   12.11   11.49
2013    1.00    0.50    5.50   11.00   11.10   17.40   21.10   20.30   16.30   12.90    5.30    3.70    0.80    9.20   19.60   11.50   10.28
2014    3.10    3.50    8.40   11.70   13.40   18.70   18.50   18.50   17.20   13.30    8.60    2.50    3.43   11.17   18.57   13.03   11.55
2015    1.80    2.32    7.72   11.22   15.02   19.27   24.02   20.47   15.02   11.02    8.47    5.57    2.21   11.32   21.25   11.50   11.57
2016    2.87    5.02    6.17   10.77   12.97   17.52   21.22   20.72   17.97   10.37    6.07    5.21    4.49    9.97   19.82   11.47   11.44
2017    1.96    6.26    9.46   10.71   14.46   20.31   20.91   21.96   14.06   13.46    5.21    0.46    4.48   11.54   21.06   10.91   12.00
2018    4.51    1.41    4.96   13.11   15.16   18.66   22.41   21.01   19.11   14.01    7.81    3.56    2.13   11.08   20.69   13.64   11.89
2019    0.56    6.11    8.31    9.91   12.31   20.71   22.26   22.31   18.01   13.41    6.46    4.96    3.41   10.18   21.76   12.63   11.99
2020    4.46    6.06    7.76   12.91   15.91   17.01   21.61   21.51   17.16   10.01    8.66    2.50    5.16   12.19   20.04   11.94   12.34
2021    0.85    6.45    7.25    9.00   11.55   19.35   20.20   19.55   17.55   11.50    7.05    2.30    3.27    9.27   19.70   12.03   11.07
2022    3.10    5.30    8.15   10.60   16.85   21.45   24.10   22.55   15.95   15.45    7.45    3.60    3.57   11.87   22.70   12.95   12.77
2023    1.85    5.25    8.35    9.70   14.25   19.15   22.15   21.90   18.55   14.30    5.55    3.85    3.57   10.77   21.07   12.80   12.05
